[addition] 7 + 59 | 66
[copying] TVNG | TVNGTVNGTVNG
[relations] E468 is parent of E647. Who is the ancestor 1 of E647? | E468
[addition] 438 + 9 | 447
[reversing] 9 1 9 0 6 2 3 3 6 3 | 3 6 3 3 2 6 0 9 1 9
[sorting] 3 1 5 5 0 1 7 4 | 0 1 1 3 4 5 5 7
[copying] ZKTKHN | ZKTKHNZKTKHN
[relations] E580 is parent of E187. Who is the ancestor 1 of E187? | E580
[reversing] 4 4 5 5 9 9 | 9 9 5 5 4 4
[copying] FGIS | FGISFGISFGIS
[reversing] 5 0 0 9 2 | 2 9 0 0 5
[sorting] 5 4 0 4 3 1 | 0 1 3 4 4 5
[reversing] 5 4 6 1 9 9 | 9 9 1 6 4 5
[copying] JNFNLU | JNFNLUJNFNLU
[reversing] 5 5 0 | 0 5 5
[relations] E14 is parent of E718. E718 is parent of E50. Who is the ancestor 2 of E50? | E14
[relations] E12 is parent of E600. Who is the ancestor 1 of E600? | E12
[relations] E2 is parent of E87. Who is the ancestor 1 of E87? | E2
[reversing] 0 4 9 9 2 | 2 9 9 4 0
[addition] 704 + 23 | 727
[addition] 534 + 72 | 606
[addition] 8 + 1 | 9
[sorting] 3 5 5 8 5 | 3 5 5 5 8
[addition] 8 + 486 | 494
[copying] HLU | HLUHLUHLUHLU
[sorting] 0 3 6 4 7 4 1 5 2 | 0 1 2 3 4 4 5 6 7
[reversing] 7 1 4 2 5 5 2 7 2 | 2 7 2 5 5 2 4 1 7
[relations] E222 is parent of E24. Who is the ancestor 1 of E24? | E222
[addition] 850 + 3 | 853
[reversing] 6 7 3 0 1 9 6 6 4 | 4 6 6 9 1 0 3 7 6
[sorting] 2 5 8 0 1 1 7 1 3 2 3 0 | 0 0 1 1 1 2 2 3 3 5 7 8
[copying] AY | AYAYAY
[copying] JOXXE | JOXXEJOXXEJOXXE
[sorting] 3 7 7 0 9 4 | 0 3 4 7 7 9
[reversing] 8 2 9 6 | 6 9 2 8
[copying] YU | YUYUYUYU
[reversing] 8 1 1 3 4 5 6 9 6 1 2 | 2 1 6 9 6 5 4 3 1 1 8
[sorting] 0 5 4 9 9 3 9 7 | 0 3 4 5 7 9 9 9
[copying] HJ | HJHJ
[reversing] 8 3 8 7 2 0 | 0 2 7 8 3 8
[sorting] 0 1 5 0 | 0 0 1 5
[relations] E422 is parent of E273. E273 is parent of E846. Who is the ancestor 2 of E846? | E422
[reversing] 7 3 6 7 | 7 6 3 7
[copying] MKIXA | MKIXAMKIXAMKIXA
[reversing] 3 7 3 5 2 5 4 | 4 5 2 5 3 7 3
[copying] EVWF | EVWFEVWFEVWFEVWF
[addition] 92 + 973 | 1065
[relations] E119 is parent of E601. E601 is parent of E476. Who is the ancestor 2 of E476? | E119
[sorting] 0 5 4 6 2 2 7 | 0 2 2 4 5 6 7
[copying] AVCZC | AVCZCAVCZCAVCZC
[copying] HUZJ | HUZJHUZJ
[sorting] 7 1 8 9 2 5 8 5 5 2 7 | 1 2 2 5 5 5 7 7 8 8 9
[addition] 85 + 866 | 951
[sorting] 8 5 8 8 | 5 8 8 8
[sorting] 2 0 7 9 4 4 8 3 0 | 0 0 2 3 4 4 7 8 9
[copying] YU | YUYUYUYU
[reversing] 4 3 7 1 5 8 3 7 1 | 1 7 3 8 5 1 7 3 4
[relations] E136 is parent of E137. E137 is parent of E171. Who is the ancestor 2 of E171? | E136
[addition] 752 + 7 | 759
[addition] 603 + 5 | 608
[relations] E287 is parent of E62. E62 is parent of E791. Who is the ancestor 2 of E791? | E287
[relations] E954 is parent of E769. E769 is parent of E527. Who is the ancestor 2 of E527? | E954
[sorting] 5 9 1 7 3 | 1 3 5 7 9
[copying] EQG | EQGEQGEQGEQG
[sorting] 8 4 0 9 | 0 4 8 9
[sorting] 9 7 6 9 | 6 7 9 9
[relations] E621 is parent of E771. E771 is parent of E652. Who is the ancestor 2 of E652? | E621
[relations] E649 is parent of E608. Who is the ancestor 1 of E608? | E649
[sorting] 8 5 4 8 1 | 1 4 5 8 8
[relations] E280 is parent of E130. Who is the ancestor 1 of E130? | E280
[addition] 5 + 28 | 33
[relations] E628 is parent of E874. Who is the ancestor 1 of E874? | E628
[addition] 46 + 4 | 50
[reversing] 7 3 5 | 5 3 7
[sorting] 2 6 4 9 | 2 4 6 9
[sorting] 5 2 6 1 8 5 1 | 1 1 2 5 5 6 8
[sorting] 3 6 7 1 1 5 1 4 8 | 1 1 1 3 4 5 6 7 8
[copying] DATDD | DATDDDATDDDATDDDATDD
[relations] E177 is parent of E827. E827 is parent of E707. Who is the ancestor 2 of E707? | E177
[copying] PG | PGPG
[relations] E660 is parent of E14. Who is the ancestor 1 of E14? | E660
[reversing] 5 7 1 0 7 0 | 0 7 0 1 7 5
[reversing] 7 3 0 | 0 3 7
[reversing] 4 6 3 9 | 9 3 6 4
[sorting] 8 7 8 5 7 5 0 | 0 5 5 7 7 8 8
[copying] TR | TRTRTRTR
[reversing] 4 1 8 0 | 0 8 1 4
[reversing] 3 6 1 8 3 1 | 1 3 8 1 6 3
[copying] OIVLWL | OIVLWLOIVLWL
[sorting] 9 3 6 2 5 5 2 | 2 2 3 5 5 6 9
[reversing] 8 2 1 8 5 8 4 0 0 | 0 0 4 8 5 8 1 2 8
[relations] E138 is parent of E759. Who is the ancestor 1 of E759? | E138
[sorting] 8 0 4 5 7 7 0 | 0 0 4 5 7 7 8
[sorting] 2 2 9 1 8 7 1 2 4 5 6 | 1 1 2 2 2 4 5 6 7 8 9
[sorting] 2 8 1 9 5 8 8 8 | 1 2 5 8 8 8 8 9
[copying] KBSPMO | KBSPMOKBSPMOKBSPMO
[copying] ANACMB | ANACMBANACMB
[reversing] 3 2 3 | 3 2 3
[relations] E185 is parent of E907. Who is the ancestor 1 of E907? | E185
[reversing] 7 8 2 6 6 | 6 6 2 8 7
[addition] 8 + 2 | 10
[addition] 6 + 2 | 8
[copying] DCLYQH | DCLYQHDCLYQH
[addition] 195 + 0 | 195
[relations] E885 is parent of E130. Who is the ancestor 1 of E130? | E885
[relations] E407 is parent of E903. E903 is parent of E941. Who is the ancestor 2 of E941? | E407
[addition] 39 + 440 | 479
[reversing] 7 3 9 1 3 5 0 0 2 2 0 0 | 0 0 2 2 0 0 5 3 1 9 3 7
[copying] AV | AVAVAV
[addition] 65 + 647 | 712
[reversing] 4 0 2 1 7 | 7 1 2 0 4
[sorting] 0 3 0 0 4 6 5 6 8 5 6 | 0 0 0 3 4 5 5 6 6 6 8
[addition] 53 + 782 | 835
[sorting] 8 0 4 4 9 8 5 0 6 | 0 0 4 4 5 6 8 8 9
[copying] SW | SWSWSWSW
[relations] E397 is parent of E505. E505 is parent of E251. Who is the ancestor 2 of E251? | E397
[sorting] 6 3 7 9 1 9 2 3 9 | 1 2 3 3 6 7 9 9 9
[sorting] 3 3 6 6 0 0 6 3 7 8 6 3 | 0 0 3 3 3 3 6 6 6 6 7 8
[relations] E572 is parent of E433. E433 is parent of E805. Who is the ancestor 2 of E805? | E572
[copying] RZ | RZRZ
[relations] E524 is parent of E462. Who is the ancestor 1 of E462? | E524
[copying] FU | FUFUFU
[addition] 7 + 242 | 249
[copying] FGB | FGBFGBFGBFGB
[copying] FMXN | FMXNFMXNFMXNFMXN
[copying] XPQB | XPQBXPQBXPQB
[sorting] 1 9 5 9 7 2 0 | 0 1 2 5 7 9 9
[copying] SWKJAW | SWKJAWSWKJAW
[reversing] 2 9 1 | 1 9 2
[reversing] 4 8 0 8 4 | 4 8 0 8 4
[addition] 391 + 3 | 394
[relations] E321 is parent of E522. E522 is parent of E424. Who is the ancestor 2 of E424? | E321
[copying] XI | XIXI
[addition] 669 + 53 | 722
[reversing] 0 8 5 4 3 1 0 8 2 5 2 9 | 9 2 5 2 8 0 1 3 4 5 8 0
[copying] JT | JTJTJT
[reversing] 3 5 4 2 4 | 4 2 4 5 3
[copying] JK | JKJK
[relations] E506 is parent of E301. Who is the ancestor 1 of E301? | E506
[sorting] 1 1 0 2 4 5 6 5 0 8 8 | 0 0 1 1 2 4 5 5 6 8 8
[reversing] 0 9 2 6 6 5 3 3 | 3 3 5 6 6 2 9 0
[relations] E390 is parent of E713. E713 is parent of E83. Who is the ancestor 2 of E83? | E390
[sorting] 8 1 2 3 | 1 2 3 8
[addition] 89 + 12 | 101
[copying] QLLD | QLLDQLLDQLLD
[addition] 2 + 4 | 6
[copying] RCBKKV | RCBKKVRCBKKV
[sorting] 1 2 6 2 0 3 1 5 0 0 7 | 0 0 0 1 1 2 2 3 5 6 7
[relations] E47 is parent of E208. E208 is parent of E473. Who is the ancestor 2 of E473? | E47
[addition] 59 + 4 | 63
[copying] HJQOGW | HJQOGWHJQOGWHJQOGWHJQOGW
[copying] COSQH | COSQHCOSQHCOSQH
[addition] 40 + 0 | 40
[relations] E687 is parent of E275. E275 is parent of E478. Who is the ancestor 2 of E478? | E687
[reversing] 7 6 9 3 4 0 7 3 8 | 8 3 7 0 4 3 9 6 7
[copying] CMZQAB | CMZQABCMZQABCMZQABCMZQAB
[reversing] 9 9 2 9 3 8 4 | 4 8 3 9 2 9 9
[copying] NYXQGH | NYXQGHNYXQGHNYXQGH
[reversing] 3 2 3 | 3 2 3
[addition] 91 + 8 | 99
[addition] 0 + 4 | 4
[copying] IZ | IZIZIZIZ
[sorting] 2 6 7 7 | 2 6 7 7
[reversing] 3 3 3 0 4 0 6 4 | 4 6 0 4 0 3 3 3
[reversing] 2 4 2 7 7 6 0 | 0 6 7 7 2 4 2
[copying] IZ | IZIZIZIZ
[reversing] 3 3 8 8 5 8 1 2 6 | 6 2 1 8 5 8 8 3 3
[sorting] 0 7 5 1 6 4 | 0 1 4 5 6 7
[reversing] 1 3 6 3 6 3 | 3 6 3 6 3 1
[sorting] 4 8 6 4 0 7 2 0 | 0 0 2 4 4 6 7 8
[copying] OO | OOOOOO
[copying] ZSHOV | ZSHOVZSHOVZSHOVZSHOV
[relations] E363 is parent of E975. Who is the ancestor 1 of E975? | E363
[reversing] 1 5 3 4 7 5 0 6 1 | 1 6 0 5 7 4 3 5 1
[addition] 0 + 4 | 4
[relations] E100 is parent of E831. E831 is parent of E309. Who is the ancestor 2 of E309? | E100
[addition] 1 + 957 | 958
[addition] 16 + 28 | 44
[sorting] 7 1 3 1 2 9 8 1 5 3 3 | 1 1 1 2 3 3 3 5 7 8 9
[copying] TWO | TWOTWO
[reversing] 9 7 2 4 4 0 | 0 4 4 2 7 9
[addition] 723 + 98 | 821
[addition] 2 + 63 | 65
[relations] E611 is parent of E583. E583 is parent of E730. Who is the ancestor 2 of E730? | E611
[sorting] 2 2 4 3 2 9 4 | 2 2 2 3 4 4 9
[copying] FR | FRFRFR
[relations] E383 is parent of E18. Who is the ancestor 1 of E18? | E383
[copying] IERNMP | IERNMPIERNMPIERNMP
[addition] 669 + 53 | 722
[relations] E842 is parent of E79. Who is the ancestor 1 of E79? | E842
[copying] OQI | OQIOQI
[addition] 45 + 177 | 222
[sorting] 1 3 5 9 1 2 4 5 6 | 1 1 2 3 4 5 5 6 9
[addition] 2 + 0 | 2
[addition] 1 + 356 | 357
[sorting] 1 5 9 2 2 4 1 3 0 5 0 | 0 0 1 1 2 2 3 4 5 5 9
[relations] E353 is parent of E330. Who is the ancestor 1 of E330? | E353
[copying] GJOR | GJORGJORGJORGJOR
[addition] 9 + 9 | 18
[reversing] 4 2 7 6 7 2 3 9 7 8 7 9 | 9 7 8 7 9 3 2 7 6 7 2 4
[copying] DROR | DRORDRORDRORDROR
[copying] GCIS | GCISGCISGCISGCIS
[reversing] 2 6 2 9 6 4 5 5 0 | 0 5 5 4 6 9 2 6 2
[sorting] 9 1 7 3 4 7 2 6 | 1 2 3 4 6 7 7 9
[copying] FHRL | FHRLFHRLFHRLFHRL
[sorting] 7 7 2 1 3 6 6 9 1 3 5 9 | 1 1 2 3 3 5 6 6 7 7 9 9
[sorting] 8 5 4 8 1 | 1 4 5 8 8
[reversing] 4 5 7 2 4 4 6 5 3 8 | 8 3 5 6 4 4 2 7 5 4
[sorting] 6 0 7 6 9 8 4 9 | 0 4 6 6 7 8 9 9
[copying] FZMLLS | FZMLLSFZMLLSFZMLLSFZMLLS
[sorting] 9 3 0 7 6 2 | 0 2 3 6 7 9
[addition] 0 + 0 | 0
[reversing] 0 3 4 5 7 8 7 0 | 0 7 8 7 5 4 3 0
[reversing] 8 5 3 8 6 | 6 8 3 5 8
[reversing] 8 2 1 8 5 8 4 0 0 | 0 0 4 8 5 8 1 2 8
[relations] E757 is parent of E151. Who is the ancestor 1 of E151? | E757
[sorting] 8 4 4 4 5 2 3 | 2 3 4 4 4 5 8
[relations] E189 is parent of E201. Who is the ancestor 1 of E201? | E189
[sorting] 5 9 6 2 3 5 8 6 8 0 5 | 0 2 3 5 5 5 6 6 8 8 9
[copying] LWRRA | LWRRALWRRA
[relations] E621 is parent of E157. E157 is parent of E413. Who is the ancestor 2 of E413? | E621
[reversing] 7 3 1 8 4 4 0 6 8 1 8 | 8 1 8 6 0 4 4 8 1 3 7
[copying] IZ | IZIZIZIZ
[reversing] 3 7 3 5 2 5 4 | 4 5 2 5 3 7 3
[copying] VBJ | VBJVBJVBJ
[sorting] 3 5 5 8 6 5 8 6 6 1 8 | 1 3 5 5 5 6 6 6 8 8 8
[relations] E803 is parent of E181. Who is the ancestor 1 of E181? | E803
[sorting] 8 6 4 9 5 4 7 3 7 3 | 3 3 4 4 5 6 7 7 8 9
[copying] UK | UKUKUK
[sorting] 0 1 6 8 2 | 0 1 2 6 8
[reversing] 7 7 6 7 8 5 3 9 | 9 3 5 8 7 6 7 7
[sorting] 1 7 4 7 4 2 6 | 1 2 4 4 6 7 7
[sorting] 4 6 7 8 7 8 3 3 6 1 7 | 1 3 3 4 6 6 7 7 7 8 8
[addition] 179 + 8 | 187
[addition] 8 + 815 | 823
[relations] E143 is parent of E226. Who is the ancestor 1 of E226? | E143
[relations] E920 is parent of E154. Who is the ancestor 1 of E154? | E920
[sorting] 0 5 3 7 | 0 3 5 7
[copying] SBMWW | SBMWWSBMWWSBMWWSBMWW
[relations] E361 is parent of E576. Who is the ancestor 1 of E576? | E361
[reversing] 8 3 6 8 5 | 5 8 6 3 8
[relations] E703 is parent of E445. E445 is parent of E675. Who is the ancestor 2 of E675? | E703
[copying] ELQEF | ELQEFELQEFELQEFELQEF
[relations] E657 is parent of E580. Who is the ancestor 1 of E580? | E657
[copying] MRLYK | MRLYKMRLYK
[relations] E297 is parent of E480. E480 is parent of E591. Who is the ancestor 2 of E591? | E297
[addition] 439 + 1 | 440
[addition] 37 + 5 | 42
[addition] 0 + 4 | 4
[reversing] 5 8 0 0 | 0 0 8 5
[relations] E272 is parent of E385. E385 is parent of E682. Who is the ancestor 2 of E682? | E272
[relations] E262 is parent of E234. Who is the ancestor 1 of E234? | E262
[addition] 64 + 3 | 67
[sorting] 5 1 4 5 0 5 0 2 1 3 9 | 0 0 1 1 2 3 4 5 5 5 9
[copying] MVC | MVCMVCMVCMVC
[reversing] 4 5 3 6 4 9 7 2 5 9 | 9 5 2 7 9 4 6 3 5 4
[addition] 79 + 913 | 992
[relations] E687 is parent of E604. Who is the ancestor 1 of E604? | E687
[copying] NBFWJS | NBFWJSNBFWJSNBFWJSNBFWJS
[sorting] 2 3 3 8 2 7 | 2 2 3 3 7 8
[copying] ANK | ANKANK
[reversing] 6 2 4 0 3 7 | 7 3 0 4 2 6
[addition] 2 + 9 | 11
[copying] OHBR | OHBROHBROHBR
[addition] 409 + 832 | 1241
[reversing] 3 1 1 | 1 1 3
[sorting] 0 7 4 1 7 2 1 | 0 1 1 2 4 7 7
[sorting] 0 6 3 1 5 7 0 1 6 2 5 2 | 0 0 1 1 2 2 3 5 5 6 6 7
[sorting] 2 3 1 7 9 5 | 1 2 3 5 7 9
[copying] KSNPPE | KSNPPEKSNPPE
[addition] 5 + 5 | 10
[sorting] 9 1 7 7 7 9 7 1 9 5 1 2 | 1 1 1 2 5 7 7 7 7 9 9 9
[addition] 55 + 399 | 454
[copying] GM | GMGM
[relations] E896 is parent of E602. E602 is parent of E178. Who is the ancestor 2 of E178? | E896
[copying] EJNEW | EJNEWEJNEW
[reversing] 0 3 9 8 3 2 8 6 0 1 5 | 5 1 0 6 8 2 3 8 9 3 0
[copying] RJBTOE | RJBTOERJBTOERJBTOE
[reversing] 5 7 8 1 8 8 1 2 7 7 6 | 6 7 7 2 1 8 8 1 8 7 5
[sorting] 9 5 3 2 0 6 4 8 3 2 | 0 2 2 3 3 4 5 6 8 9
[sorting] 7 0 0 0 7 2 1 6 9 7 | 0 0 0 1 2 6 7 7 7 9
[relations] E574 is parent of E596. Who is the ancestor 1 of E596? | E574
[sorting] 1 7 2 7 3 0 4 5 9 0 9 5 | 0 0 1 2 3 4 5 5 7 7 9 9
[reversing] 6 0 0 6 | 6 0 0 6
[addition] 401 + 148 | 549
[relations] E974 is parent of E393. E393 is parent of E788. Who is the ancestor 2 of E788? | E974
[addition] 7 + 7 | 14
[addition] 5 + 2 | 7
[sorting] 9 3 0 9 0 0 2 2 8 9 | 0 0 0 2 2 3 8 9 9 9
[reversing] 9 0 3 2 5 3 6 | 6 3 5 2 3 0 9
[relations] E591 is parent of E950. E950 is parent of E133. Who is the ancestor 2 of E133? | E591
[copying] IERNMP | IERNMPIERNMPIERNMP
[reversing] 8 6 0 1 1 9 8 2 0 | 0 2 8 9 1 1 0 6 8
[addition] 9 + 32 | 41
[reversing] 7 3 5 | 5 3 7
[addition] 5 + 7 | 12
[reversing] 1 1 8 4 | 4 8 1 1
[copying] YGC | YGCYGC
[addition] 596 + 30 | 626
[sorting] 7 4 5 6 4 | 4 4 5 6 7
[relations] E360 is parent of E223. Who is the ancestor 1 of E223? | E360
[reversing] 6 0 8 1 4 2 9 5 6 1 4 6 | 6 4 1 6 5 9 2 4 1 8 0 6
[addition] 8 + 1 | 9
[addition] 63 + 99 | 162
[addition] 0 + 5 | 5
[sorting] 5 6 6 9 2 | 2 5 6 6 9
[addition] 5 + 9 | 14
[sorting] 9 1 4 4 2 4 | 1 2 4 4 4 9
[addition] 97 + 67 | 164
[addition] 89 + 12 | 101
[reversing] 5 4 4 2 0 9 1 0 | 0 1 9 0 2 4 4 5
[sorting] 9 7 7 3 1 5 8 0 6 | 0 1 3 5 6 7 7 8 9
[sorting] 5 1 0 4 4 0 8 2 | 0 0 1 2 4 4 5 8
[sorting] 5 4 9 7 8 6 5 3 2 9 | 2 3 4 5 5 6 7 8 9 9
[sorting] 1 9 2 8 7 | 1 2 7 8 9
[addition] 662 + 66 | 728
[sorting] 3 5 5 8 6 5 8 6 6 1 8 | 1 3 5 5 5 6 6 6 8 8 8
[reversing] 5 6 8 1 6 5 1 | 1 5 6 1 8 6 5
[sorting] 0 8 2 3 8 6 8 3 3 3 7 5 | 0 2 3 3 3 3 5 6 7 8 8 8
[sorting] 7 3 7 9 4 6 6 | 3 4 6 6 7 7 9
[sorting] 3 1 9 8 1 4 0 3 | 0 1 1 3 3 4 8 9
[copying] SK | SKSKSKSK
[addition] 9 + 1 | 10
[sorting] 0 5 1 3 1 9 9 9 | 0 1 1 3 5 9 9 9
[addition] 25 + 3 | 28
[reversing] 4 2 3 6 4 4 5 | 5 4 4 6 3 2 4
[reversing] 9 6 1 | 1 6 9
[addition] 4 + 0 | 4
[reversing] 9 5 1 4 6 7 1 5 | 5 1 7 6 4 1 5 9
[reversing] 0 0 0 0 6 3 6 5 | 5 6 3 6 0 0 0 0
[addition] 77 + 19 | 96
[sorting] 9 2 0 4 0 2 7 1 4 7 6 6 | 0 0 1 2 2 4 4 6 6 7 7 9
[reversing] 7 8 0 1 2 0 7 0 5 4 5 9 | 9 5 4 5 0 7 0 2 1 0 8 7
[relations] E22 is parent of E437. E437 is parent of E382. Who is the ancestor 2 of E382? | E22
[sorting] 7 1 8 9 2 5 8 5 5 2 7 | 1 2 2 5 5 5 7 7 8 8 9
[reversing] 9 9 8 9 2 2 6 0 6 8 6 3 | 3 6 8 6 0 6 2 2 9 8 9 9
[reversing] 5 1 7 9 8 8 4 0 8 0 1 2 | 2 1 0 8 0 4 8 8 9 7 1 5
[sorting] 7 5 9 4 | 4 5 7 9
[sorting] 2 8 2 4 0 3 6 8 4 0 1 7 | 0 0 1 2 2 3 4 4 6 7 8 8
[reversing] 4 2 7 6 7 2 3 9 7 8 7 9 | 9 7 8 7 9 3 2 7 6 7 2 4
[copying] HV | HVHV
[addition] 603 + 5 | 608
[relations] E295 is parent of E674. Who is the ancestor 1 of E674? | E295
[reversing] 0 6 4 | 4 6 0
[relations] E93 is parent of E412. Who is the ancestor 1 of E412? | E93
[sorting] 1 2 4 3 7 3 8 5 3 7 1 | 1 1 2 3 3 3 4 5 7 7 8
[addition] 6 + 48 | 54
[addition] 6 + 6 | 12
[copying] OIVLWL | OIVLWLOIVLWL
[copying] CST | CSTCSTCSTCST
[sorting] 7 6 4 4 1 | 1 4 4 6 7
[copying] GJOR | GJORGJORGJORGJOR
[sorting] 1 1 0 2 4 5 6 5 0 8 8 | 0 0 1 1 2 4 5 5 6 8 8
[sorting] 9 9 2 8 6 | 2 6 8 9 9
[sorting] 8 9 1 8 4 0 6 3 | 0 1 3 4 6 8 8 9
[addition] 37 + 0 | 37
[sorting] 0 1 3 9 1 7 1 2 8 3 | 0 1 1 1 2 3 3 7 8 9
[reversing] 2 7 5 9 | 9 5 7 2
[relations] E960 is parent of E421. Who is the ancestor 1 of E421? | E960
[addition] 85 + 67 | 152
[sorting] 0 6 3 1 5 7 0 1 6 2 5 2 | 0 0 1 1 2 2 3 5 5 6 6 7
[reversing] 3 5 7 | 7 5 3
[sorting] 3 4 5 7 8 7 1 1 8 5 6 | 1 1 3 4 5 5 6 7 7 8 8
[reversing] 4 8 2 | 2 8 4
[addition] 8 + 1 | 9
[copying] YU | YUYUYUYU
[sorting] 7 8 5 9 8 | 5 7 8 8 9
[reversing] 6 0 8 1 4 2 9 5 6 1 4 6 | 6 4 1 6 5 9 2 4 1 8 0 6
[sorting] 1 8 9 8 7 6 8 9 | 1 6 7 8 8 8 9 9
[reversing] 0 2 1 9 1 1 | 1 1 9 1 2 0
[copying] QB | QBQBQB
[copying] MOF | MOFMOF
[reversing] 7 7 5 1 7 2 5 6 5 0 9 | 9 0 5 6 5 2 7 1 5 7 7
[reversing] 6 6 2 6 3 0 0 3 9 2 | 2 9 3 0 0 3 6 2 6 6
[reversing] 7 2 4 3 0 7 7 2 | 2 7 7 0 3 4 2 7
[relations] E621 is parent of E771. E771 is parent of E652. Who is the ancestor 2 of E652? | E621
[reversing] 4 4 8 8 1 5 0 2 6 7 1 1 | 1 1 7 6 2 0 5 1 8 8 4 4
[reversing] 2 4 4 1 7 8 6 3 | 3 6 8 7 1 4 4 2
[sorting] 0 5 9 9 4 | 0 4 5 9 9
[copying] SQY | SQYSQYSQY
[addition] 2 + 5 | 7
[sorting] 0 0 3 5 3 5 9 0 | 0 0 0 3 3 5 5 9
[reversing] 7 5 9 2 0 6 0 7 5 7 | 7 5 7 0 6 0 2 9 5 7
[reversing] 9 9 6 1 0 8 9 | 9 8 0 1 6 9 9
[copying] ORVR | ORVRORVR
[relations] E215 is parent of E631. Who is the ancestor 1 of E631? | E215
[sorting] 0 3 7 9 1 8 8 5 6 | 0 1 3 5 6 7 8 8 9
[addition] 189 + 1 | 190
[addition] 7 + 7 | 14
[reversing] 7 6 5 0 1 7 | 7 1 0 5 6 7
[sorting] 0 1 6 8 2 | 0 1 2 6 8
[copying] DRBL | DRBLDRBL
[relations] E667 is parent of E341. E341 is parent of E643. Who is the ancestor 2 of E643? | E667
[reversing] 0 3 7 2 6 8 | 8 6 2 7 3 0
[copying] FH | FHFHFHFH
[relations] E129 is parent of E396. E396 is parent of E666. Who is the ancestor 2 of E666? | E129
[relations] E415 is parent of E319. Who is the ancestor 1 of E319? | E415
[copying] QTKY | QTKYQTKY
[copying] RZ | RZRZ
[addition] 44 + 853 | 897
[addition] 7 + 65 | 72
[copying] FU | FUFUFU
[copying] GEYC | GEYCGEYCGEYC
[reversing] 7 0 9 3 6 9 | 9 6 3 9 0 7
[sorting] 5 2 8 0 | 0 2 5 8
[copying] XCQM | XCQMXCQMXCQMXCQM
[reversing] 8 5 3 8 6 | 6 8 3 5 8
[sorting] 3 1 9 8 1 4 0 3 | 0 1 1 3 3 4 8 9
[sorting] 1 8 5 5 | 1 5 5 8
[sorting] 6 4 4 1 3 | 1 3 4 4 6
[sorting] 3 5 5 8 6 5 8 6 6 1 8 | 1 3 5 5 5 6 6 6 8 8 8
[reversing] 9 6 7 2 9 | 9 2 7 6 9
[reversing] 7 6 9 8 5 4 2 5 9 5 5 | 5 5 9 5 2 4 5 8 9 6 7
[sorting] 0 7 8 6 | 0 6 7 8
[copying] NZWLHR | NZWLHRNZWLHRNZWLHR
[sorting] 7 5 1 7 7 3 8 7 0 3 | 0 1 3 3 5 7 7 7 7 8
[reversing] 9 5 7 4 9 9 | 9 9 4 7 5 9
[sorting] 8 8 0 7 | 0 7 8 8
[sorting] 2 7 8 3 7 9 1 8 6 | 1 2 3 6 7 7 8 8 9
[sorting] 4 3 0 1 6 9 3 | 0 1 3 3 4 6 9
[relations] E346 is parent of E844. Who is the ancestor 1 of E844? | E346
[addition] 615 + 7 | 622
[addition] 65 + 1 | 66
[sorting] 2 9 1 6 0 7 9 6 1 7 5 | 0 1 1 2 5 6 6 7 7 9 9
[relations] E119 is parent of E601. E601 is parent of E476. Who is the ancestor 2 of E476? | E119
[reversing] 2 3 1 4 1 9 4 | 4 9 1 4 1 3 2
[copying] CDJ | CDJCDJCDJ
[sorting] 4 2 7 5 7 6 9 6 7 4 | 2 4 4 5 6 6 7 7 7 9
[sorting] 1 0 3 9 8 2 2 0 | 0 0 1 2 2 3 8 9
[addition] 7 + 806 | 813
[addition] 523 + 1 | 524
[reversing] 9 1 9 9 1 | 1 9 9 1 9
[copying] PA | PAPAPAPA
[relations] E338 is parent of E970. E970 is parent of E666. Who is the ancestor 2 of E666? | E338
[reversing] 6 3 1 3 0 9 8 5 8 | 8 5 8 9 0 3 1 3 6
[addition] 72 + 5 | 77
[sorting] 8 1 2 0 4 9 6 4 7 0 | 0 0 1 2 4 4 6 7 8 9
[reversing] 0 4 7 9 0 3 8 0 1 0 | 0 1 0 8 3 0 9 7 4 0
[copying] MRLYK | MRLYKMRLYK
[addition] 438 + 9 | 447
[copying] VF | VFVFVF
[sorting] 6 4 6 6 9 5 6 5 | 4 5 5 6 6 6 6 9
[reversing] 2 1 1 | 1 1 2
[sorting] 0 4 1 6 1 2 | 0 1 1 2 4 6
[sorting] 1 7 7 8 7 7 | 1 7 7 7 7 8
[addition] 88 + 784 | 872
[relations] E745 is parent of E193. Who is the ancestor 1 of E193? | E745
[addition] 333 + 865 | 1198
[sorting] 8 1 8 2 1 | 1 1 2 8 8
[copying] KM | KMKM
[relations] E977 is parent of E868. Who is the ancestor 1 of E868? | E977
[reversing] 6 7 1 3 6 | 6 3 1 7 6
[reversing] 5 3 1 8 8 2 6 9 | 9 6 2 8 8 1 3 5
[sorting] 3 1 6 8 5 6 9 9 | 1 3 5 6 6 8 9 9
[addition] 8 + 240 | 248
[relations] E817 is parent of E63. Who is the ancestor 1 of E63? | E817
[addition] 8 + 1 | 9
[relations] E571 is parent of E510. E510 is parent of E207. Who is the ancestor 2 of E207? | E571
[copying] CPGQ | CPGQCPGQCPGQ
[reversing] 8 8 3 3 6 7 | 7 6 3 3 8 8
[addition] 7 + 6 | 13
[relations] E238 is parent of E533. E533 is parent of E610. Who is the ancestor 2 of E610? | E238
[relations] E353 is parent of E920. Who is the ancestor 1 of E920? | E353
[sorting] 3 1 3 0 1 | 0 1 1 3 3
