[addition] 22468 + 38614 | 61082
[sorting] 6 4 6 6 9 5 6 5 | 4 5 5 6 6 6 6 9
[sorting] 8 4 2 0 8 6 9 9 5 4 3 | 0 2 3 4 4 5 6 8 8 9 9
[relations] E106 is parent of E544. E544 is parent of E852. Who is the ancestor 2 of E852? | E106
[sorting] 4 7 2 6 8 3 1 3 9 6 | 1 2 3 3 4 6 6 7 8 9
[sorting] 1 7 1 5 4 4 4 1 1 1 | 1 1 1 1 1 4 4 4 5 7
[reversing] 8 2 8 3 6 4 1 7 4 4 8 | 8 4 4 7 1 4 6 3 8 2 8
[reversing] 6 6 2 5 0 0 4 8 3 | 3 8 4 0 0 5 2 6 6
[relations] E331 is parent of E651. Who is the ancestor 1 of E651? | E331
[sorting] 2 3 5 6 9 3 9 6 | 2 3 3 5 6 6 9 9
[relations] E516 is parent of E933. E933 is parent of E21. Who is the ancestor 2 of E21? | E516
[reversing] 7 3 5 0 3 | 3 0 5 3 7
[addition] 1 + 957 | 958
[addition] 5015 + 221 | 5236
[reversing] 4 1 3 8 | 8 3 1 4
[relations] E658 is parent of E67. Who is the ancestor 1 of E67? | E658
[copying] JAQWF | JAQWFJAQWFJAQWFJAQWF
[copying] FAK | FAKFAKFAKFAK
[copying] KRF | KRFKRFKRFKRF
[relations] E737 is parent of E218. Who is the ancestor 1 of E218? | E737
[relations] E211 is parent of E263. E263 is parent of E456. Who is the ancestor 2 of E456? | E211
[relations] E896 is parent of E475. E475 is parent of E110. Who is the ancestor 2 of E110? | E896
[relations] E517 is parent of E807. E807 is parent of E424. Who is the ancestor 2 of E424? | E517
[reversing] 3 6 8 7 9 1 0 | 0 1 9 7 8 6 3
[relations] E12 is parent of E140. Who is the ancestor 1 of E140? | E12
[sorting] 0 1 5 7 | 0 1 5 7
[copying] VSGPY | VSGPYVSGPYVSGPYVSGPY
[reversing] 3 8 3 1 2 6 6 3 1 1 8 6 | 6 8 1 1 3 6 6 2 1 3 8 3
[copying] DYIW | DYIWDYIW
[addition] 740 + 1 | 741
[copying] VKTGCQ | VKTGCQVKTGCQVKTGCQVKTGCQ
[reversing] 2 2 0 0 8 5 0 7 9 9 | 9 9 7 0 5 8 0 0 2 2
[reversing] 8 5 8 8 4 1 7 4 8 6 9 4 | 4 9 6 8 4 7 1 4 8 8 5 8
[reversing] 9 2 0 8 3 | 3 8 0 2 9
[copying] ELQEF | ELQEFELQEFELQEFELQEF
[sorting] 4 4 8 8 4 1 4 0 | 0 1 4 4 4 4 8 8
[reversing] 0 0 9 5 | 5 9 0 0
[sorting] 4 9 5 0 7 0 1 1 1 3 | 0 0 1 1 1 3 4 5 7 9
[copying] YSM | YSMYSMYSM
[addition] 466 + 620 | 1086
[copying] FB | FBFB
[copying] XTNYV | XTNYVXTNYVXTNYV
[copying] CYABWH | CYABWHCYABWHCYABWH
[sorting] 2 0 1 0 0 2 | 0 0 0 1 2 2
[reversing] 6 5 4 4 7 4 2 8 9 3 9 | 9 3 9 8 2 4 7 4 4 5 6
[copying] PCZFY | PCZFYPCZFYPCZFYPCZFY
[sorting] 7 9 7 2 3 8 | 2 3 7 7 8 9
[relations] E916 is parent of E602. E602 is parent of E97. Who is the ancestor 2 of E97? | E916
[addition] 871 + 335 | 1206
[reversing] 6 4 2 6 0 3 6 4 2 2 3 | 3 2 2 4 6 3 0 6 2 4 6
[relations] E772 is parent of E385. E385 is parent of E392. Who is the ancestor 2 of E392? | E772
[reversing] 2 9 2 2 4 0 | 0 4 2 2 9 2
[reversing] 6 9 1 1 | 1 1 9 6
[copying] HABJG | HABJGHABJG
[reversing] 8 1 1 5 2 5 6 7 | 7 6 5 2 5 1 1 8
[copying] MDD | MDDMDD
[reversing] 1 4 9 2 4 | 4 2 9 4 1
[sorting] 8 7 4 1 7 4 1 0 0 | 0 0 1 1 4 4 7 7 8
[sorting] 8 2 6 0 7 1 0 0 1 | 0 0 0 1 1 2 6 7 8
[relations] E937 is parent of E208. Who is the ancestor 1 of E208? | E937
[copying] VVAPH | VVAPHVVAPHVVAPH
[addition] 39 + 402 | 441
[addition] 79 + 46 | 125
[relations] E535 is parent of E425. E425 is parent of E693. Who is the ancestor 2 of E693? | E535
[copying] RGOIY | RGOIYRGOIYRGOIYRGOIY
[relations] E731 is parent of E438. Who is the ancestor 1 of E438? | E731
[copying] UQTWL | UQTWLUQTWL
[reversing] 2 4 0 9 7 8 8 0 4 8 0 | 0 8 4 0 8 8 7 9 0 4 2
[copying] JEZ | JEZJEZ
[relations] E469 is parent of E921. E921 is parent of E413. Who is the ancestor 2 of E413? | E469
[relations] E983 is parent of E924. E924 is parent of E150. Who is the ancestor 2 of E150? | E983
[sorting] 3 6 3 0 1 8 7 2 9 8 | 0 1 2 3 3 6 7 8 8 9
[sorting] 1 0 2 7 7 4 3 2 9 | 0 1 2 2 3 4 7 7 9
[reversing] 9 2 7 7 0 6 7 | 7 6 0 7 7 2 9
[addition] 157 + 539 | 696
[relations] E242 is parent of E385. Who is the ancestor 1 of E385? | E242
[addition] 631 + 47 | 678
[sorting] 0 3 8 4 5 4 1 7 2 1 | 0 1 1 2 3 4 4 5 7 8
[sorting] 4 2 3 8 | 2 3 4 8
[relations] E702 is parent of E997. Who is the ancestor 1 of E997? | E702
[addition] 57 + 433 | 490
[reversing] 6 0 4 2 1 5 7 7 1 5 8 | 8 5 1 7 7 5 1 2 4 0 6
[sorting] 5 1 0 4 4 0 8 2 | 0 0 1 2 4 4 5 8
[sorting] 5 9 5 4 0 9 2 3 6 0 | 0 0 2 3 4 5 5 6 9 9
[reversing] 8 8 8 1 5 8 9 | 9 8 5 1 8 8 8
[addition] 6 + 947 | 953
[reversing] 6 2 4 3 0 7 1 0 1 1 1 4 | 4 1 1 1 0 1 7 0 3 4 2 6
[addition] 63 + 76 | 139
[sorting] 7 5 7 2 | 2 5 7 7
[addition] 82 + 0 | 82
[relations] E376 is parent of E526. Who is the ancestor 1 of E526? | E376
[relations] E892 is parent of E322. E322 is parent of E433. Who is the ancestor 2 of E433? | E892
[sorting] 0 1 1 0 0 0 2 9 8 2 3 6 | 0 0 0 0 1 1 2 2 3 6 8 9
[addition] 50 + 0 | 50
[relations] E833 is parent of E383. Who is the ancestor 1 of E383? | E833
[addition] 63 + 99 | 162
[sorting] 1 6 5 9 0 4 6 5 2 2 8 | 0 1 2 2 4 5 5 6 6 8 9
[relations] E834 is parent of E533. Who is the ancestor 1 of E533? | E834
[sorting] 2 3 8 5 7 6 3 7 6 | 2 3 3 5 6 6 7 7 8
[addition] 9 + 538 | 547
[relations] E925 is parent of E794. E794 is parent of E931. Who is the ancestor 2 of E931? | E925
[sorting] 3 5 8 8 6 5 3 8 5 3 | 3 3 3 5 5 5 6 8 8 8
[relations] E857 is parent of E335. Who is the ancestor 1 of E335? | E857
[addition] 41 + 525 | 566
[reversing] 0 7 9 | 9 7 0
[copying] JMPTVH | JMPTVHJMPTVHJMPTVH
[copying] HXZ | HXZHXZHXZHXZ
[relations] E323 is parent of E778. E778 is parent of E481. Who is the ancestor 2 of E481? | E323
[sorting] 2 1 5 2 3 0 6 9 2 6 0 | 0 0 1 2 2 2 3 5 6 6 9
[reversing] 5 8 3 9 1 0 | 0 1 9 3 8 5
[sorting] 8 2 7 4 8 6 7 8 3 5 4 1 | 1 2 3 4 4 5 6 7 7 8 8 8
[copying] ZI | ZIZIZI
[relations] E322 is parent of E510. Who is the ancestor 1 of E510? | E322
[copying] EWLA | EWLAEWLAEWLAEWLA
[sorting] 1 4 2 1 4 | 1 1 2 4 4
[relations] E361 is parent of E850. Who is the ancestor 1 of E850? | E361
[copying] TFSQGA | TFSQGATFSQGATFSQGATFSQGA
[sorting] 5 8 2 8 | 2 5 8 8
[addition] 464 + 10 | 474
[reversing] 7 7 2 5 9 4 6 7 | 7 6 4 9 5 2 7 7
[copying] BKKM | BKKMBKKMBKKMBKKM
[sorting] 3 4 5 7 8 7 1 1 8 5 6 | 1 1 3 4 5 5 6 7 7 8 8
[reversing] 1 3 6 1 9 9 5 2 4 | 4 2 5 9 9 1 6 3 1
[addition] 365 + 66 | 431
[relations] E550 is parent of E707. E707 is parent of E389. Who is the ancestor 2 of E389? | E550
[relations] E934 is parent of E953. Who is the ancestor 1 of E953? | E934
[relations] E237 is parent of E89. Who is the ancestor 1 of E89? | E237
[relations] E617 is parent of E707. Who is the ancestor 1 of E707? | E617
[relations] E427 is parent of E162. Who is the ancestor 1 of E162? | E427
[reversing] 4 7 7 9 8 | 8 9 7 7 4
[sorting] 7 0 0 0 9 9 | 0 0 0 7 9 9
[relations] E825 is parent of E252. E252 is parent of E742. Who is the ancestor 2 of E742? | E825
[copying] MDOZ | MDOZMDOZMDOZMDOZ
[sorting] 1 8 4 5 7 1 2 3 0 | 0 1 1 2 3 4 5 7 8
[addition] 0 + 34606 | 34606
[sorting] 9 0 9 5 5 2 5 0 2 0 | 0 0 0 2 2 5 5 5 9 9
[relations] E579 is parent of E431. E431 is parent of E25. Who is the ancestor 2 of E25? | E579
[addition] 732 + 74 | 806
[copying] CNP | CNPCNPCNPCNP
[relations] E332 is parent of E886. Who is the ancestor 1 of E886? | E332
[addition] 221 + 11 | 232
[reversing] 6 4 0 5 8 | 8 5 0 4 6
[addition] 43 + 628 | 671
[addition] 3 + 91 | 94
[relations] E484 is parent of E804. Who is the ancestor 1 of E804? | E484
[copying] FU | FUFUFU
[relations] E919 is parent of E204. Who is the ancestor 1 of E204? | E919
[sorting] 8 9 6 6 1 0 4 1 8 0 7 3 | 0 0 1 1 3 4 6 6 7 8 8 9
[relations] E99 is parent of E613. Who is the ancestor 1 of E613? | E99
[sorting] 4 8 3 8 3 4 | 3 3 4 4 8 8
[copying] STVOV | STVOVSTVOV
[reversing] 9 3 9 3 9 2 0 7 7 7 | 7 7 7 0 2 9 3 9 3 9
[addition] 37 + 227 | 264
[addition] 220 + 754 | 974
[reversing] 9 7 0 7 4 4 3 | 3 4 4 7 0 7 9
[relations] E667 is parent of E341. E341 is parent of E643. Who is the ancestor 2 of E643? | E667
[reversing] 0 6 6 2 1 | 1 2 6 6 0
[copying] OQPD | OQPDOQPDOQPDOQPD
[relations] E710 is parent of E288. Who is the ancestor 1 of E288? | E710
[sorting] 6 5 6 6 1 | 1 5 6 6 6
[relations] E311 is parent of E529. E529 is parent of E481. Who is the ancestor 2 of E481? | E311
[sorting] 8 8 6 4 0 7 6 | 0 4 6 6 7 8 8
[addition] 2 + 92 | 94
[relations] E54 is parent of E590. E590 is parent of E438. Who is the ancestor 2 of E438? | E54
[addition] 820 + 52 | 872
[addition] 9 + 4380 | 4389
[copying] VDHIH | VDHIHVDHIH
[reversing] 6 9 9 8 2 2 9 6 | 6 9 2 2 8 9 9 6
[sorting] 3 0 8 2 6 | 0 2 3 6 8
[reversing] 8 6 5 1 3 6 2 5 4 1 | 1 4 5 2 6 3 1 5 6 8
[sorting] 7 8 3 2 9 6 5 0 | 0 2 3 5 6 7 8 9
[relations] E481 is parent of E445. E445 is parent of E949. Who is the ancestor 2 of E949? | E481
[reversing] 3 0 7 3 7 6 9 0 8 5 1 | 1 5 8 0 9 6 7 3 7 0 3
[addition] 1 + 5 | 6
[sorting] 6 5 6 4 7 6 7 2 4 1 7 2 | 1 2 2 4 4 5 6 6 6 7 7 7
[sorting] 4 6 1 5 5 4 8 | 1 4 4 5 5 6 8
[relations] E851 is parent of E927. Who is the ancestor 1 of E927? | E851
[reversing] 5 6 8 1 6 5 1 | 1 5 6 1 8 6 5
[addition] 19 + 2 | 21
[copying] LTKWVJ | LTKWVJLTKWVJ
[addition] 78155 + 83 | 78238
[reversing] 8 2 1 8 5 8 4 0 0 | 0 0 4 8 5 8 1 2 8
[sorting] 6 7 1 0 6 9 9 | 0 1 6 6 7 9 9
[copying] EGUZFN | EGUZFNEGUZFNEGUZFNEGUZFN
[addition] 88 + 35 | 123
[relations] E763 is parent of E71. E71 is parent of E931. Who is the ancestor 2 of E931? | E763
[sorting] 9 6 9 6 | 6 6 9 9
[copying] XGQWO | XGQWOXGQWOXGQWO
[addition] 166 + 943 | 1109
[reversing] 6 9 1 8 5 3 6 3 4 0 4 | 4 0 4 3 6 3 5 8 1 9 6
[addition] 7 + 81 | 88
[reversing] 4 2 7 0 9 3 9 2 4 | 4 2 9 3 9 0 7 2 4
[addition] 26 + 3 | 29
[reversing] 9 0 8 5 | 5 8 0 9
[relations] E278 is parent of E180. E180 is parent of E490. Who is the ancestor 2 of E490? | E278
[reversing] 5 1 5 6 | 6 5 1 5
[relations] E321 is parent of E38. Who is the ancestor 1 of E38? | E321
[relations] E434 is parent of E473. Who is the ancestor 1 of E473? | E434
[reversing] 4 8 9 6 6 9 3 | 3 9 6 6 9 8 4
[copying] FSD | FSDFSDFSDFSD
[addition] 550 + 442 | 992
[reversing] 9 9 6 9 5 8 1 2 7 7 1 | 1 7 7 2 1 8 5 9 6 9 9
[copying] NZQ | NZQNZQNZQ
[sorting] 8 8 0 7 8 3 0 8 4 7 5 | 0 0 3 4 5 7 7 8 8 8 8
[reversing] 4 0 3 0 5 | 5 0 3 0 4
[addition] 28 + 38 | 66
[copying] IQZ | IQZIQZ
[copying] AWCRG | AWCRGAWCRG
[copying] BJUXDM | BJUXDMBJUXDM
[relations] E275 is parent of E888. E888 is parent of E229. Who is the ancestor 2 of E229? | E275
[reversing] 5 2 7 0 6 6 7 5 1 0 | 0 1 5 7 6 6 0 7 2 5
[relations] E668 is parent of E829. Who is the ancestor 1 of E829? | E668
[copying] MRLYK | MRLYKMRLYK
[relations] E744 is parent of E816. E816 is parent of E459. Who is the ancestor 2 of E459? | E744
[reversing] 7 8 0 1 2 0 7 0 5 4 5 9 | 9 5 4 5 0 7 0 2 1 0 8 7
[copying] CNQ | CNQCNQ
[copying] NUPGV | NUPGVNUPGVNUPGVNUPGV
[copying] KG | KGKG
[copying] MINQ | MINQMINQMINQMINQ
[reversing] 8 5 2 4 6 5 7 0 | 0 7 5 6 4 2 5 8
[reversing] 1 7 0 4 2 7 2 4 1 | 1 4 2 7 2 4 0 7 1
[reversing] 5 5 5 4 7 7 7 7 8 6 6 4 | 4 6 6 8 7 7 7 7 4 5 5 5
[sorting] 1 0 0 9 9 9 2 1 5 0 5 9 | 0 0 0 1 1 2 5 5 9 9 9 9
[copying] TMRNTL | TMRNTLTMRNTLTMRNTLTMRNTL
[copying] LFDMNR | LFDMNRLFDMNR
[copying] AMJZ | AMJZAMJZAMJZ
[sorting] 0 5 9 9 4 | 0 4 5 9 9
[sorting] 0 2 3 9 | 0 2 3 9
[sorting] 6 6 0 4 1 7 | 0 1 4 6 6 7
[copying] ZZFD | ZZFDZZFD
[addition] 67 + 61 | 128
[relations] E907 is parent of E528. Who is the ancestor 1 of E528? | E907
[relations] E506 is parent of E850. E850 is parent of E219. Who is the ancestor 2 of E219? | E506
[addition] 47 + 59 | 106
[relations] E154 is parent of E827. E827 is parent of E756. Who is the ancestor 2 of E756? | E154
[copying] EZ | EZEZEZ
[reversing] 7 5 7 0 2 5 9 | 9 5 2 0 7 5 7
[relations] E200 is parent of E950. E950 is parent of E986. Who is the ancestor 2 of E986? | E200
[reversing] 0 6 5 8 5 0 2 5 8 8 | 8 8 5 2 0 5 8 5 6 0
[sorting] 0 6 2 5 5 8 3 7 5 4 | 0 2 3 4 5 5 5 6 7 8
[reversing] 3 2 9 4 8 | 8 4 9 2 3
[copying] CSECWS | CSECWSCSECWSCSECWSCSECWS
[relations] E969 is parent of E335. E335 is parent of E24. Who is the ancestor 2 of E24? | E969
[addition] 5 + 508 | 513
[addition] 570 + 718 | 1288
[copying] FZKAV | FZKAVFZKAVFZKAV
[reversing] 2 2 4 6 2 5 6 2 7 9 | 9 7 2 6 5 2 6 4 2 2
[sorting] 0 8 2 2 8 8 7 | 0 2 2 7 8 8 8
[copying] TCUJK | TCUJKTCUJK
[addition] 79672 + 837 | 80509
[copying] GF | GFGFGFGF
[reversing] 1 2 5 6 1 0 9 8 4 5 4 5 | 5 4 5 4 8 9 0 1 6 5 2 1
[copying] VQN | VQNVQNVQNVQN
[copying] TBQ | TBQTBQTBQTBQ
[sorting] 8 5 4 1 5 0 2 0 9 5 8 5 | 0 0 1 2 4 5 5 5 5 8 8 9
[addition] 9 + 93899 | 93908
[sorting] 8 8 3 7 9 4 3 9 7 2 1 8 | 1 2 3 3 4 7 7 8 8 8 9 9
[copying] QLLD | QLLDQLLDQLLD
[relations] E307 is parent of E974. Who is the ancestor 1 of E974? | E307
[copying] HR | HRHRHRHR
[relations] E531 is parent of E381. E381 is parent of E264. Who is the ancestor 2 of E264? | E531
[addition] 45 + 37 | 82
[sorting] 6 7 4 6 1 5 1 | 1 1 4 5 6 6 7
[addition] 333 + 865 | 1198
[relations] E154 is parent of E528. Who is the ancestor 1 of E528? | E154
[addition] 83 + 9613 | 9696
[reversing] 5 3 0 3 7 7 6 1 | 1 6 7 7 3 0 3 5
[sorting] 1 5 8 7 0 9 6 4 5 7 4 | 0 1 4 4 5 5 6 7 7 8 9
[copying] WTCGX | WTCGXWTCGXWTCGX
[sorting] 7 1 3 4 1 8 0 1 8 3 | 0 1 1 1 3 3 4 7 8 8
[sorting] 5 5 9 0 5 9 3 | 0 3 5 5 5 9 9
[relations] E962 is parent of E784. Who is the ancestor 1 of E784? | E962
[sorting] 4 3 8 4 6 1 0 6 9 4 9 | 0 1 3 4 4 4 6 6 8 9 9
[copying] IJUC | IJUCIJUCIJUC
[addition] 14 + 2 | 16
[addition] 1 + 397 | 398
[sorting] 9 6 4 2 6 5 7 | 2 4 5 6 6 7 9
[relations] E105 is parent of E515. Who is the ancestor 1 of E515? | E105
[relations] E732 is parent of E797. E797 is parent of E53. Who is the ancestor 2 of E53? | E732
[copying] BZFCA | BZFCABZFCABZFCABZFCA
[relations] E926 is parent of E626. E626 is parent of E627. Who is the ancestor 2 of E627? | E926
[relations] E739 is parent of E237. Who is the ancestor 1 of E237? | E739
[sorting] 4 8 6 1 9 7 6 3 1 6 | 1 1 3 4 6 6 6 7 8 9
[reversing] 4 1 4 4 3 4 9 | 9 4 3 4 4 1 4
[relations] E137 is parent of E389. Who is the ancestor 1 of E389? | E137
[copying] INDJ | INDJINDJ
[sorting] 5 9 8 6 5 9 2 4 8 | 2 4 5 5 6 8 8 9 9
[copying] VLSE | VLSEVLSEVLSE
[reversing] 3 2 1 4 2 6 4 1 3 | 3 1 4 6 2 4 1 2 3
[sorting] 1 5 0 1 9 8 2 6 4 0 | 0 0 1 1 2 4 5 6 8 9
[sorting] 4 9 0 7 4 8 1 8 6 2 2 | 0 1 2 2 4 4 6 7 8 8 9
[relations] E316 is parent of E256. Who is the ancestor 1 of E256? | E316
[copying] RWPWC | RWPWCRWPWC
[addition] 809 + 74 | 883
[relations] E604 is parent of E330. Who is the ancestor 1 of E330? | E604
[sorting] 8 1 2 0 4 9 6 4 7 0 | 0 0 1 2 4 4 6 7 8 9
[relations] E18 is parent of E474. E474 is parent of E790. Who is the ancestor 2 of E790? | E18
[reversing] 9 2 6 6 3 | 3 6 6 2 9
[addition] 240 + 74 | 314
[addition] 2 + 0 | 2
[sorting] 9 8 6 2 | 2 6 8 9
[sorting] 1 2 5 9 | 1 2 5 9
[sorting] 7 1 0 2 4 7 4 9 8 | 0 1 2 4 4 7 7 8 9
[relations] E314 is parent of E466. E466 is parent of E313. Who is the ancestor 2 of E313? | E314
[addition] 5 + 199 | 204
[reversing] 6 2 0 8 3 8 7 7 2 | 2 7 7 8 3 8 0 2 6
[addition] 8 + 6 | 14
[sorting] 0 3 9 7 0 4 5 8 2 7 | 0 0 2 3 4 5 7 7 8 9
[relations] E85 is parent of E209. E209 is parent of E451. Who is the ancestor 2 of E451? | E85
[reversing] 1 3 3 9 9 4 3 6 3 0 7 1 | 1 7 0 3 6 3 4 9 9 3 3 1
[sorting] 0 3 6 7 2 2 9 | 0 2 2 3 6 7 9
[relations] E954 is parent of E902. Who is the ancestor 1 of E902? | E954
[reversing] 5 7 7 5 1 9 7 0 0 | 0 0 7 9 1 5 7 7 5
[sorting] 3 8 9 1 0 1 6 5 3 2 | 0 1 1 2 3 3 5 6 8 9
[relations] E147 is parent of E171. E171 is parent of E245. Who is the ancestor 2 of E245? | E147
[sorting] 6 5 3 0 7 6 6 | 0 3 5 6 6 6 7
[sorting] 3 8 3 4 | 3 3 4 8
[addition] 611 + 6 | 617
[copying] WYWV | WYWVWYWV
[reversing] 5 1 5 | 5 1 5
[relations] E882 is parent of E864. Who is the ancestor 1 of E864? | E882
[copying] RKLBTI | RKLBTIRKLBTIRKLBTI
[sorting] 0 7 2 2 7 0 1 | 0 0 1 2 2 7 7
[reversing] 9 7 6 1 9 4 4 5 0 5 1 3 | 3 1 5 0 5 4 4 9 1 6 7 9
[sorting] 4 2 0 6 4 7 5 0 5 0 9 0 | 0 0 0 0 2 4 4 5 5 6 7 9
[reversing] 5 2 6 6 | 6 6 2 5
[addition] 4 + 46736 | 46740
[relations] E47 is parent of E246. E246 is parent of E63. Who is the ancestor 2 of E63? | E47
[relations] E841 is parent of E661. Who is the ancestor 1 of E661? | E841
[sorting] 9 6 0 4 2 9 9 1 9 9 6 | 0 1 2 4 6 6 9 9 9 9 9
[reversing] 6 1 7 5 4 5 4 3 3 7 | 7 3 3 4 5 4 5 7 1 6
[addition] 576 + 563 | 1139
[copying] XKLNPS | XKLNPSXKLNPSXKLNPSXKLNPS
[copying] WZA | WZAWZA
[addition] 59 + 0 | 59
[addition] 450 + 91 | 541
[relations] E779 is parent of E790. Who is the ancestor 1 of E790? | E779
[sorting] 1 6 0 9 | 0 1 6 9
[reversing] 3 2 2 8 0 6 0 6 5 | 5 6 0 6 0 8 2 2 3
[addition] 201 + 681 | 882
[reversing] 1 5 7 3 | 3 7 5 1
[relations] E153 is parent of E863. Who is the ancestor 1 of E863? | E153
[reversing] 5 8 4 8 6 9 2 7 | 7 2 9 6 8 4 8 5
[addition] 287 + 25 | 312
[copying] SMVT | SMVTSMVTSMVT
[relations] E83 is parent of E863. Who is the ancestor 1 of E863? | E83
[sorting] 6 9 3 3 | 3 3 6 9
[addition] 256 + 3 | 259
[relations] E302 is parent of E153. E153 is parent of E996. Who is the ancestor 2 of E996? | E302
[reversing] 3 4 3 6 1 2 | 2 1 6 3 4 3
[relations] E312 is parent of E55. Who is the ancestor 1 of E55? | E312
[relations] E673 is parent of E462. Who is the ancestor 1 of E462? | E673
[sorting] 2 4 5 1 0 5 0 9 | 0 0 1 2 4 5 5 9
[sorting] 7 4 9 0 9 2 2 6 0 6 0 0 | 0 0 0 0 2 2 4 6 6 7 9 9
[addition] 2 + 773 | 775
[sorting] 4 6 1 9 2 | 1 2 4 6 9
[reversing] 0 9 4 8 0 3 5 | 5 3 0 8 4 9 0
[relations] E381 is parent of E337. E337 is parent of E817. Who is the ancestor 2 of E817? | E381
[reversing] 1 0 3 5 4 2 5 | 5 2 4 5 3 0 1
[copying] UJ | UJUJ
[addition] 494 + 183 | 677
[relations] E674 is parent of E268. E268 is parent of E470. Who is the ancestor 2 of E470? | E674
[relations] E73 is parent of E202. Who is the ancestor 1 of E202? | E73
[addition] 49 + 31 | 80
[addition] 2 + 589 | 591
[sorting] 9 6 5 8 6 8 2 4 2 2 3 | 2 2 2 3 4 5 6 6 8 8 9
[relations] E889 is parent of E608. Who is the ancestor 1 of E608? | E889
[sorting] 2 6 2 6 4 0 5 | 0 2 2 4 5 6 6
[relations] E455 is parent of E275. E275 is parent of E862. Who is the ancestor 2 of E862? | E455
[sorting] 3 5 4 2 7 3 5 | 2 3 3 4 5 5 7
[reversing] 9 9 3 5 5 9 2 | 2 9 5 5 3 9 9
[copying] XYDHPL | XYDHPLXYDHPLXYDHPLXYDHPL
[reversing] 1 4 2 7 8 3 7 | 7 3 8 7 2 4 1
[copying] PKRCVZ | PKRCVZPKRCVZPKRCVZPKRCVZ
[addition] 105 + 739 | 844
[addition] 1 + 8 | 9
[addition] 833 + 386 | 1219
[sorting] 0 4 9 3 9 9 5 1 | 0 1 3 4 5 9 9 9
[copying] GMM | GMMGMM
[reversing] 0 9 4 0 4 8 | 8 4 0 4 9 0
[relations] E570 is parent of E933. Who is the ancestor 1 of E933? | E570
[addition] 77 + 449 | 526
[copying] MVC | MVCMVCMVCMVC
[sorting] 2 7 4 9 6 8 0 | 0 2 4 6 7 8 9
[sorting] 4 8 9 2 0 9 0 0 | 0 0 0 2 4 8 9 9
[sorting] 9 1 4 0 5 0 | 0 0 1 4 5 9
[sorting] 7 3 7 5 9 3 9 | 3 3 5 7 7 9 9
[reversing] 9 3 2 8 2 0 8 3 | 3 8 0 2 8 2 3 9
[reversing] 7 0 9 3 6 9 | 9 6 3 9 0 7
[sorting] 7 0 9 7 6 0 0 8 6 7 1 | 0 0 0 1 6 6 7 7 7 8 9
[sorting] 7 2 2 4 8 4 0 6 8 4 | 0 2 2 4 4 4 6 7 8 8
[addition] 43 + 70 | 113
[copying] RGPE | RGPERGPERGPERGPE
[sorting] 1 6 6 0 0 6 2 4 9 7 | 0 0 1 2 4 6 6 6 7 9
[reversing] 9 6 3 0 5 8 2 | 2 8 5 0 3 6 9
[copying] BNQPON | BNQPONBNQPON
[reversing] 8 6 7 7 0 9 8 1 9 | 9 1 8 9 0 7 7 6 8
[relations] E622 is parent of E381. Who is the ancestor 1 of E381? | E622
[addition] 1 + 204 | 205
[copying] OGNECM | OGNECMOGNECMOGNECM
[relations] E536 is parent of E313. Who is the ancestor 1 of E313? | E536
[relations] E513 is parent of E207. E207 is parent of E496. Who is the ancestor 2 of E496? | E513
[addition] 20 + 4 | 24
[addition] 507 + 8797 | 9304
[copying] TWO | TWOTWO
[copying] WXOPV | WXOPVWXOPV
[addition] 781 + 89 | 870
[sorting] 6 5 6 0 1 3 0 9 7 9 6 | 0 0 1 3 5 6 6 6 7 9 9
[sorting] 0 8 2 6 5 9 0 6 | 0 0 2 5 6 6 8 9
[sorting] 8 1 1 5 6 1 9 5 5 7 5 | 1 1 1 5 5 5 5 6 7 8 9
[reversing] 1 1 1 | 1 1 1
[copying] YYNU | YYNUYYNUYYNUYYNU
[copying] FH | FHFHFHFH
[reversing] 3 3 3 0 4 0 6 4 | 4 6 0 4 0 3 3 3
[sorting] 9 0 9 6 9 1 1 8 3 | 0 1 1 3 6 8 9 9 9
[addition] 0 + 8 | 8
[reversing] 5 3 1 8 8 2 6 9 | 9 6 2 8 8 1 3 5
[addition] 50 + 8403 | 8453
[sorting] 0 2 9 1 7 9 8 0 2 8 | 0 0 1 2 2 7 8 8 9 9
[copying] FMXN | FMXNFMXNFMXNFMXN
[addition] 891 + 7 | 898
[sorting] 6 4 9 8 9 7 8 4 0 0 7 1 | 0 0 1 4 4 6 7 7 8 8 9 9
[sorting] 1 2 4 4 7 | 1 2 4 4 7
[sorting] 7 8 4 1 6 2 0 3 9 | 0 1 2 3 4 6 7 8 9
[addition] 6368 + 632 | 7000
[sorting] 2 2 8 8 3 1 0 1 | 0 1 1 2 2 3 8 8
[addition] 571 + 53 | 624
[relations] E254 is parent of E646. E646 is parent of E380. Who is the ancestor 2 of E380? | E254
[addition] 42 + 78 | 120
[sorting] 1 4 3 1 8 6 9 8 9 | 1 1 3 4 6 8 8 9 9
[copying] YQPXQF | YQPXQFYQPXQF
[addition] 1 + 76 | 77
[addition] 187 + 638 | 825
[reversing] 7 4 8 7 5 8 4 7 0 | 0 7 4 8 5 7 8 4 7
[addition] 28 + 5 | 33
[addition] 78 + 85 | 163
[reversing] 3 3 4 8 4 0 6 4 4 8 5 2 | 2 5 8 4 4 6 0 4 8 4 3 3
[addition] 83 + 858 | 941
[addition] 95 + 270 | 365
[addition] 606 + 55297 | 55903
[sorting] 2 3 5 6 1 | 1 2 3 5 6
